n_models,n_tasks,n_replicates,n_calls,mdes_within_structure,mdes_between_task_csr,mdes_between_model
3,6,1,108,6.58,4.6,10.75
3,6,4,432,3.36,3.62,9.98
3,6,8,864,2.44,3.44,9.84
3,6,16,1728,1.82,3.34,9.77
3,6,32,3456,1.4,3.29,9.74
3,12,1,216,4.66,3.25,10.24
3,12,4,864,2.38,2.56,9.84
3,12,8,1728,1.73,2.43,9.77
3,12,16,3456,1.28,2.36,9.74
3,12,32,6912,0.99,2.32,9.72
3,24,1,432,3.29,2.3,9.98
3,24,4,1728,1.68,1.81,9.77
3,24,8,3456,1.22,1.72,9.74
3,24,16,6912,0.91,1.67,9.72
3,24,32,13824,0.7,1.64,9.71
3,48,1,864,2.33,1.63,9.84
3,48,4,3456,1.19,1.28,9.74
3,48,8,6912,0.86,1.21,9.72
3,48,16,13824,0.64,1.18,9.71
3,48,32,27648,0.5,1.16,9.71
5,6,1,180,5.1,4.11,8.33
5,6,4,720,2.61,3.47,7.73
5,6,8,1440,1.89,3.36,7.62
5,6,16,2880,1.41,3.3,7.57
5,6,32,5760,1.09,3.27,7.54
5,12,1,360,3.61,2.9,7.93
5,12,4,1440,1.84,2.46,7.62
5,12,8,2880,1.34,2.37,7.57
5,12,16,5760,0.99,2.33,7.54
5,12,32,11520,0.77,2.31,7.53
5,24,1,720,2.55,2.05,7.73
5,24,4,2880,1.3,1.74,7.57
5,24,8,5760,0.95,1.68,7.54
5,24,16,11520,0.7,1.65,7.53
5,24,32,23040,0.54,1.63,7.52
5,48,1,1440,1.8,1.45,7.62
5,48,4,5760,0.92,1.23,7.54
5,48,8,11520,0.67,1.19,7.53
5,48,16,23040,0.5,1.17,7.52
5,48,32,46080,0.38,1.15,7.52
8,6,1,288,4.03,3.8,6.58
8,6,4,1152,2.06,3.39,6.11
8,6,8,2304,1.5,3.31,6.03
8,6,16,4608,1.11,3.27,5.99
8,6,32,9216,0.86,3.25,5.96
8,12,1,576,2.85,2.69,6.27
8,12,4,2304,1.46,2.39,6.03
8,12,8,4608,1.06,2.34,5.99
8,12,16,9216,0.79,2.31,5.96
8,12,32,18432,0.61,2.3,5.95
8,24,1,1152,2.02,1.9,6.11
8,24,4,4608,1.03,1.69,5.99
8,24,8,9216,0.75,1.66,5.96
8,24,16,18432,0.56,1.64,5.95
8,24,32,36864,0.43,1.63,5.95
8,48,1,2304,1.43,1.34,6.03
8,48,4,9216,0.73,1.2,5.96
8,48,8,18432,0.53,1.17,5.95
8,48,16,36864,0.39,1.16,5.95
8,48,32,73728,0.3,1.15,5.95
12,6,1,432,3.29,3.62,5.37
12,6,4,1728,1.68,3.34,4.99
12,6,8,3456,1.22,3.29,4.92
12,6,16,6912,0.91,3.26,4.89
12,6,32,13824,0.7,3.25,4.87
12,12,1,864,2.33,2.56,5.12
12,12,4,3456,1.19,2.36,4.92
12,12,8,6912,0.86,2.32,4.89
12,12,16,13824,0.64,2.31,4.87
12,12,32,27648,0.5,2.3,4.86
12,24,1,1728,1.65,1.81,4.99
12,24,4,6912,0.84,1.67,4.89
12,24,8,13824,0.61,1.64,4.87
12,24,16,27648,0.45,1.63,4.86
12,24,32,55296,0.35,1.62,4.86
12,48,1,3456,1.16,1.28,4.92
12,48,4,13824,0.59,1.18,4.87
12,48,8,27648,0.43,1.16,4.86
12,48,16,55296,0.32,1.15,4.86
12,48,32,110592,0.25,1.15,4.85
20,6,1,720,2.55,3.47,4.16
20,6,4,2880,1.3,3.3,3.86
20,6,8,5760,0.95,3.27,3.81
20,6,16,11520,0.7,3.25,3.79
20,6,32,23040,0.54,3.24,3.77
20,12,1,1440,1.8,2.46,3.97
20,12,4,5760,0.92,2.33,3.81
20,12,8,11520,0.67,2.31,3.79
20,12,16,23040,0.5,2.3,3.77
20,12,32,46080,0.38,2.29,3.77
20,24,1,2880,1.28,1.74,3.86
20,24,4,11520,0.65,1.65,3.79
20,24,8,23040,0.47,1.63,3.77
20,24,16,46080,0.35,1.63,3.77
20,24,32,92160,0.27,1.62,3.76
20,48,1,5760,0.9,1.23,3.81
20,48,4,23040,0.46,1.17,3.77
20,48,8,46080,0.33,1.15,3.77
20,48,16,92160,0.25,1.15,3.76
20,48,32,184320,0.19,1.15,3.76
