trial_id,model_spec,provider,model_skill,hint,effective_skill,logprob_readout,readout_method,task_id,difficulty_rank,manipulation,level,structure_high,token_budget,log2_budget,completion_tokens,log2_tokens,csr,csr_centred,paraphrase,replicate,flow_index,degenerate,breakpoint_steps
openai:frontier-a|T01|high|h0|128|0,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,128,7.0,27,4.754887502163468,-3.2,-2.9000000000000004,3,0,44.363072834027484,0,0.5997502635856079
openai:frontier-a|T01|high|h0|128|1,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,128,7.0,32,5.0,-3.2,-2.9000000000000004,1,1,44.96208219375653,0,0.33392788038833243
openai:frontier-a|T01|high|h0|128|2,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,128,7.0,27,4.754887502163468,-3.2,-2.9000000000000004,3,2,39.472657218990264,0,0.5310947488965769
openai:frontier-a|T01|high|h0|128|3,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,128,7.0,53,5.727920454563199,-3.2,-2.9000000000000004,3,3,36.77951668614247,0,0.1583845953227293
openai:frontier-a|T01|high|h0|128|4,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,128,7.0,23,4.523561956057013,-3.2,-2.9000000000000004,0,4,45.68722269082857,0,0.0
openai:frontier-a|T01|high|h0|128|5,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,128,7.0,41,5.357552004618084,-3.2,-2.9000000000000004,3,5,38.81798742569106,0,1.2314877143963034
openai:frontier-a|T01|high|h0|128|6,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,128,7.0,67,6.066089190457772,-3.2,-2.9000000000000004,2,6,36.046809131569674,0,1.292041077802058
openai:frontier-a|T01|high|h0|128|7,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,128,7.0,18,4.169925001442312,-3.2,-2.9000000000000004,1,7,28.644686387438217,0,0.0
openai:frontier-a|T01|high|h0|512|0,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,512,9.0,33,5.044394119358453,-3.2,-2.9000000000000004,0,0,58.62669939970908,0,0.10122530060312934
openai:frontier-a|T01|high|h0|512|1,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,512,9.0,49,5.614709844115208,-3.2,-2.9000000000000004,2,1,54.10704823522428,0,0.0
openai:frontier-a|T01|high|h0|512|2,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,512,9.0,32,5.0,-3.2,-2.9000000000000004,3,2,43.54741375561643,0,0.5269075154344179
openai:frontier-a|T01|high|h0|512|3,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,512,9.0,52,5.700439718141092,-3.2,-2.9000000000000004,3,3,41.765032208971164,0,0.6878899958821961
openai:frontier-a|T01|high|h0|512|4,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,512,9.0,35,5.129283016944966,-3.2,-2.9000000000000004,1,4,45.343693856222245,0,1.444174861339633
openai:frontier-a|T01|high|h0|512|5,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,512,9.0,55,5.78135971352466,-3.2,-2.9000000000000004,3,5,34.25660240102774,0,0.8348080034363515
