trial_id,model_spec,provider,model_skill,hint,effective_skill,logprob_readout,readout_method,task_id,difficulty_rank,manipulation,level,structure_high,token_budget,log2_budget,completion_tokens,log2_tokens,csr,csr_centred,paraphrase,replicate,flow_index,degenerate,breakpoint_steps
openai:frontier-a|T01|high|h0|128|0,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,128,7.0,27,4.754887502163468,-3.2,-2.9000000000000004,3,0,84.92253413435363,0,1.999314135230979
openai:frontier-a|T01|high|h0|128|1,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,128,7.0,32,5.0,-3.2,-2.9000000000000004,1,1,85.52154349408265,0,1.7082671562135183
openai:frontier-a|T01|high|h0|128|2,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,128,7.0,27,4.754887502163468,-3.2,-2.9000000000000004,3,2,80.0321185193164,0,1.930658620541948
openai:frontier-a|T01|high|h0|128|3,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,128,7.0,53,5.727920454563199,-3.2,-2.9000000000000004,3,3,77.3389779864686,0,1.4830249296333213
openai:frontier-a|T01|high|h0|128|4,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,128,7.0,23,4.523561956057013,-3.2,-2.9000000000000004,0,4,86.24668399115471,0,0.0
openai:frontier-a|T01|high|h0|128|5,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,128,7.0,41,5.357552004618084,-3.2,-2.9000000000000004,3,5,79.37744872601719,0,2.5846464193526693
openai:frontier-a|T01|high|h0|128|6,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,128,7.0,67,6.066089190457772,-3.2,-2.9000000000000004,2,6,76.60627043189581,0,2.632957910844527
openai:frontier-a|T01|high|h0|128|7,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,128,7.0,18,4.169925001442312,-3.2,-2.9000000000000004,1,7,69.20414768776433,0,1.075727428086768
openai:frontier-a|T01|high|h0|512|0,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,512,9.0,33,5.044394119358453,-3.2,-2.9000000000000004,0,0,92.78616070003523,0,0.8426752661472152
openai:frontier-a|T01|high|h0|512|1,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,512,9.0,49,5.614709844115208,-3.2,-2.9000000000000004,2,1,88.26650953555043,0,0.7979166827836481
openai:frontier-a|T01|high|h0|512|2,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,512,9.0,32,5.0,-3.2,-2.9000000000000004,3,2,77.70687505594259,0,1.4345977247463764
openai:frontier-a|T01|high|h0|512|3,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,512,9.0,52,5.700439718141092,-3.2,-2.9000000000000004,3,3,75.9244935092973,0,1.5416463468972905
openai:frontier-a|T01|high|h0|512|4,openai:frontier-a,openai,3.2,0,3.2,True,logprob,T01,0,goal_clarity,high,1,512,9.0,35,5.129283016944966,-3.2,-2.9000000000000004,1,4,79.50315515654839,0,2.335559344860057
